,Longitude,Latitude,cluster,centroids
564,78.5473933,14.7729483,0,0
565,80.68898,16.74217,1,0
566,77.6321367,15.047735,0,0
567,77.5144533,14.99563,0,0
568,77.6319867,15.0461017,0,0
569,78.5474217,14.7729367,0,0
570,78.5267317,14.826765,0,0
571,77.449535,15.099895,0,0
572,77.5785233,15.1837383,0,0
573,77.6024683,15.1415433,0,0
574,77.5719233,15.0863967,0,0
575,77.6921317,15.1340067,0,0
576,77.5333917,14.9859683,0,0
577,77.5834667,15.0297367,0,0
578,77.533425,14.9860633,0,0
579,77.5766467,14.9976667,0,0
580,77.58378,15.0291333,0,0
581,77.365925,15.1660317,0,0
582,77.535035,15.1275517,0,0
583,77.5195067,15.066245,0,0
584,77.6577933,15.11508,0,0
585,77.6005483,15.0286233,0,0
586,77.5354317,14.9872433,0,0
587,77.5177967,15.0163417,0,0
588,83.4856283,18.2596533,13,0
589,83.4862216,18.260685,13,0
590,83.4862583,18.2605116,13,0
591,83.4855583,18.260735,13,0
592,83.4867016,18.260355,13,0
593,83.485995,18.2615716,13,0
594,83.4854566,18.2624433,13,0
595,83.4860316,18.26154,13,0
596,83.4859933,18.2622216,13,0
597,83.5891733,18.3345299,13,0
598,83.5881516,18.3353516,13,0
599,83.5881016,18.3352866,13,0
600,83.5891866,18.3344399,13,0
601,83.5887566,18.3347383,13,0
602,83.5221333,18.310685,13,0
603,83.522745,18.2940883,13,0
604,83.522725,18.2940316,13,0
605,78.612045,13.3090483,0,0
606,78.6262983,13.2864333,0,0
607,78.6120317,13.3090783,0,0
608,78.6060567,13.31259,0,0
609,78.587775,13.32016,0,0
610,78.5916367,13.3091817,0,0
611,78.5916517,13.3091867,0,0
612,78.5960683,13.27278,0,0
613,78.5956967,13.2717183,0,0
614,78.596365,13.2710883,0,0
615,78.5960767,13.272595,0,0
616,78.5964767,13.2710633,0,0
617,78.6510633,13.2997233,0,0
618,79.2056767,13.3689067,0,0
619,79.1543283,13.37337,0,0
620,79.168795,13.3748667,0,0
621,79.33165,13.3849133,0,0
622,78.6746983,14.4252867,0,0
623,78.674655,14.4252667,0,0
624,79.5516267,13.3383233,0,0
625,79.519395,13.3554833,0,0
626,79.5844067,13.2993183,0,0
627,79.6438767,13.3021633,0,0
628,79.47649,13.3914167,0,0
629,79.4756517,13.3914883,0,0
630,83.9456767,18.7989767,13,0
631,83.422909,18.068236,13,0
632,83.561435,18.2043616,13,0
633,83.59671,18.057305,13,0
634,83.54817,18.020445,13,0
635,83.4991783,18.0092683,13,0
636,78.912035,13.6201067,0,0
637,83.568325,18.0521049,13,0
638,78.939645,13.616615,0,0
639,83.56787,18.05306,13,0
640,83.56923,18.054265,13,0
641,83.5691533,18.055205,13,0
642,83.5690783,18.0553083,13,0
643,83.5949483,18.178925,13,0
644,83.6171816,18.1306,13,0
645,78.9198317,13.66033,0,0
646,83.5691916,18.0550366,13,0
647,78.9946733,13.8727267,0,0
648,83.4993583,18.0093867,13,0
649,79.0246667,13.8662617,0,0
650,83.4990883,18.0091967,13,0
651,79.016395,13.8657567,0,0
652,83.499915,18.00941,13,0
653,78.5849383,13.8354783,0,0
654,83.49957,18.0091783,13,0
655,78.9076383,13.7445583,0,0
656,83.4979783,18.0072917,13,0
657,78.5755067,13.7850933,0,0
658,83.49809,18.0071683,13,0
659,83.4985267,18.0079967,13,0
660,78.5996683,13.83698,0,0
661,83.49874,18.010585,13,0
662,78.5897633,13.70876,0,0
663,78.5898783,13.708345,0,0
664,83.5911499,18.1900933,13,0
665,78.5899117,13.7082667,0,0
666,78.6235067,13.72197,0,0
667,78.6741867,13.7019867,0,0
668,83.5909933,18.190165,13,0
669,78.7273,13.830315,0,0
670,83.5906116,18.189675,13,0
671,83.589165,18.1902716,13,0
672,78.727255,13.6763333,0,0
673,83.5912083,18.1899933,13,0
674,78.7431767,13.6792633,0,0
675,78.760475,13.6963967,0,0
676,83.5913183,18.1887133,13,0
677,83.5905433,18.1873483,13,0
678,78.9092133,13.7320283,0,0
679,78.9063883,13.7448117,0,0
680,83.6030699,18.1789999,13,0
681,78.85587,13.7168616,0,0
682,83.4148983,18.21707,13,0
683,78.85991,13.726385,0,0
684,78.9156483,13.7952233,0,0
685,78.9059,13.817695,0,0
686,83.6183983,18.1318916,13,0
687,78.8924467,13.876695,0,0
688,78.8926017,13.876785,0,0
689,78.8866183,13.865165,0,0
690,78.8210266,13.880265,0,0
691,79.5086067,13.5418733,0,0
692,83.4149749,18.2174116,13,0
693,78.8210233,13.8802366,0,0
694,83.4314739,18.0027878,13,0
695,79.535205,13.4712883,0,0
696,78.7899433,13.8673816,0,0
697,78.7899416,13.8673883,0,0
698,78.7899683,13.8674216,0,0
699,78.7900233,13.8674466,0,0
700,78.8012683,13.835295,0,0
701,78.795845,13.8355483,0,0
702,79.7926753,14.1216082,0,0
703,81.0709283,16.5311517,1,0
704,79.52355,13.8742317,0,0
705,81.0708633,16.531205,1,0
706,82.1029117,16.5604417,4,0
707,82.1022783,16.5630017,4,0
708,81.0748683,16.4804133,1,0
709,82.1049283,16.5622767,4,0
710,81.07489,16.480425,1,0
711,82.1252883,16.54214,4,0
712,83.3276566,18.0996333,13,0
713,82.1210583,16.5335967,4,0
714,82.1150683,16.5240583,4,0
715,82.1175817,16.5170417,4,0
716,81.082895,16.445915,1,0
717,81.0835567,16.44747,1,0
718,81.0302067,16.4236383,1,0
719,81.030605,16.4237367,1,0
720,81.0394267,16.4064083,1,0
721,81.032525,16.3842217,1,0
722,81.0467567,16.4495167,1,0
723,81.01631,16.4757,1,0
724,81.02256,16.523255,1,0
725,81.018555,16.5231733,1,0
726,81.0136783,16.5391533,1,0
727,81.0262617,16.48943,1,0
728,81.0163667,16.475675,1,0
729,81.02621,16.4894017,1,0
730,79.204595,13.351115,0,0
731,79.204585,13.3510733,0,0
732,81.0928567,16.35062,1,0
733,81.0925283,16.3502583,1,0
734,81.0925633,16.3501783,1,0
735,81.09414,16.317095,1,0
736,81.1081683,16.31232,1,0
737,79.3596967,13.3624533,0,0
738,81.0941517,16.317085,1,0
739,81.1081383,16.3122533,1,0
740,81.0645317,16.3241967,1,0
741,81.03251,16.3842083,1,0
742,81.0092367,16.3508733,1,0
743,80.9829833,16.40585,1,0
744,79.3089816,14.8771616,0,0
745,80.62438,17.0063117,1,0
746,80.6246367,17.0029117,1,0
747,80.6220367,17.0235567,1,0
748,83.5278366,18.8614716,12,0
749,80.63319,17.033535,1,0
750,80.632865,17.0336467,1,0
751,80.63189,17.031205,1,0
752,80.6311,17.04347,1,0
753,80.6311117,17.045015,1,0
754,80.63973,17.0549967,1,0
755,80.6372733,17.0546583,1,0
756,81.8715067,16.822805,4,0
757,80.7610333,16.5891117,1,0
758,80.8878533,16.6827783,1,0
759,80.8873,16.671595,1,0
760,80.88825,16.6719367,1,0
761,77.5843283,15.072845,0,0
762,77.5448867,15.1825683,0,0
763,77.5640383,15.154385,0,0
764,77.7038217,15.1219733,0,0
765,80.9450367,16.6389283,1,0
766,77.5127717,15.154795,0,0
767,80.9520933,16.62256,1,0
768,80.88424,16.5112867,1,0
769,77.5665317,15.1021883,0,0
770,78.0775583,14.1950333,0,0
771,80.9129633,16.6151983,1,0
772,81.8930333,16.7937033,4,0
773,81.8293767,16.854035,4,0
774,81.8311767,16.8591067,4,0
775,81.000635,16.6543583,1,0
776,78.0747383,14.196995,0,0
777,83.12766,17.9528367,13,0
778,76.82727,14.6620033,0,0
779,82.5880483,18.2883867,12,0
780,77.8638567,14.9594067,0,0
781,79.923815,14.1080067,0,0
782,83.1889333,17.8918883,13,0
783,80.1222483,16.781465,1,0
784,77.035965,14.2906567,0,0
785,77.047695,14.32429,0,0
786,78.6094433,13.5306167,0,0
787,82.7025867,17.422725,3,0
788,83.1107866,18.47498,12,0
789,80.2285083,15.67356,0,0
790,83.1109,18.4744466,12,0
791,80.2331317,15.6816417,0,0
792,80.2486183,15.642135,0,0
793,79.0639716,13.7499583,0,0
794,82.4815133,18.4291567,12,0
795,82.4721133,18.318935,12,0
796,80.4054117,16.6576883,1,0
797,79.48454,14.3303317,0,0
798,82.7049383,17.724095,12,0
799,83.3269367,18.62518,12,0
